id,value
Public Utilities|Power Generation|Avista Corporation Common Stock(AVA)(2.599B),AVA
Public Utilities|Power Generation|CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078(CMSA)(0.000B),CMSA
Public Utilities|Power Generation|CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078(CMSC)(0.000B),CMSC
Public Utilities|Power Generation|CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079(CMSD)(0.000B),CMSD
Public Utilities|Power Generation|CMS Energy Corporation Common Stock(CMS)(16.360B),CMS
Public Utilities|Power Generation|CMS Energy Corporation Preferred Stock(CMS^B)(nan),CMS^B
Public Utilities|Power Generation|Consolidated Edison Inc. Common Stock(ED)(23.451B),ED
Public Utilities|Power Generation|Duke Energy Corporation (Holding Company) Common Stock(DUK)(65.890B),DUK
Public Utilities|Power Generation|Duke Energy Corporation 5.125% Junior Subordinated Debentures due 2073(DUKH)(0.000B),DUKH
Public Utilities|Power Generation|Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078(DUKB)(0.000B),DUKB
Public Utilities|Power Generation|Duke Energy Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.75% Series A Cumulative Redeemable Perpetual Preferred Stock(DUK^A)(nan),DUK^A
Public Utilities|Power Generation|Entergy New Orleans LLC First Mortgage Bonds 5.0% Series due December 1 2052(ENJ)(0.000B),ENJ
Public Utilities|Power Generation|Entergy New Orleans LLC First Mortgage Bonds 5.50% Series due April 1 2066(ENO)(0.000B),ENO
Public Utilities|Power Generation|Evergy Inc. Common Stock(EVRG)(12.526B),EVRG
Public Utilities|Power Generation|Exelon Corporation Common Stock(EXC)(41.657B),EXC
Public Utilities|Power Generation|Genie Energy Ltd. Class B Common Stock Stock(GNE)(0.200B),GNE
Public Utilities|Power Generation|Interstate Power & Light Company Perp Prd Ser D(IPLDP)(0.000B),IPLDP
Public Utilities|Power Generation|NiSource Inc Common Stock(NI)(8.753B),NI
Public Utilities|Power Generation|NiSource Inc Depositary Shares representing 1/1000th ownership interest in a share of 6.50% Series B Preferred Stock and 1/1000th ownership interest in a share of Series B-1 Preferred Stock(NI^B)(nan),NI^B
Public Utilities|Power Generation|NorthWestern Corporation Common Stock(NWE)(2.945B),NWE
Public Utilities|Power Generation|Pacific Gas & Electric Co. Common Stock(PCG)(23.338B),PCG
Public Utilities|Power Generation|Pacific Gas & Electric Co. Equity Unit(PCGU)(0.000B),PCGU
Public Utilities|Power Generation|Public Service Enterprise Group Incorporated Common Stock(PEG)(29.592B),PEG
Public Utilities|Power Generation|Spark Energy Inc. 8.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock(SPKEP)(0.000B),SPKEP
