id,value
Finance|Business Services|DFP Healthcare Acquisitions Corp. Unit(DFPHU)(0.000B),DFPHU
Finance|Business Services|DFP Healthcare Acquisitions Corp. Warrant(DFPHW)(0.000B),DFPHW
Finance|Business Services|DPCM Capital Inc. Class A Common Stock(XPOA)(0.438B),XPOA
Finance|Business Services|Decarbonization Plus Acquisition Corporation Class A Common Stock(DCRB)(0.420B),DCRB
Finance|Business Services|Decarbonization Plus Acquisition Corporation II Unit(DCRNU)(0.000B),DCRNU
Finance|Business Services|Decarbonization Plus Acquisition Corporation Unit(DCRBU)(0.000B),DCRBU
Finance|Business Services|Decarbonization Plus Acquisition Corporation Warrant(DCRBW)(0.000B),DCRBW
Finance|Business Services|Deep Lake Capital Acquisition Corp. Unit(DLCAU)(0.000B),DLCAU
Finance|Business Services|Delwinds Insurance Acquisition Corp. Class A Common Stock(DWIN)(0.000B),DWIN
Finance|Business Services|DiamondHead Holdings Corp. Unit(DHHCU)(0.000B),DHHCU
Finance|Business Services|Diginex Limited Ordinary Shares(EQOS)(0.625B),EQOS
Finance|Business Services|Diginex Limited Warrant(EQOSW)(0.000B),EQOSW
Finance|Business Services|Dragoneer Growth Opportunities Corp. Class A Ordinary Shares(DGNR)(1.022B),DGNR
Finance|Business Services|Dragoneer Growth Opportunities Corp. II Class A Ordinary Shares(DGNS)(0.402B),DGNS
Finance|Business Services|Duddell Street Acquisition Corp. Class A Ordinary Shares(DSAC)(0.230B),DSAC
Finance|Business Services|Duddell Street Acquisition Corp. Unit(DSACU)(0.000B),DSACU
Finance|Business Services|Duddell Street Acquisition Corp. Warrant(DSACW)(0.000B),DSACW
Finance|Business Services|Dune Acquisition Corporation Unit(DUNEU)(0.000B),DUNEU
Finance|Business Services|E.Merge Technology Acquisition Corp. Class A Common Stock(ETAC)(0.802B),ETAC
Finance|Business Services|E.Merge Technology Acquisition Corp. Unit(ETACU)(0.000B),ETACU
Finance|Business Services|E.Merge Technology Acquisition Corp. Warrant(ETACW)(0.000B),ETACW
Finance|Business Services|ECP Environmental Growth Opportunities Corp. Unit(ENNVU)(0.000B),ENNVU
